t,vout,dctrl
0.000786,7.164133,5.907996
0.000788,7.156659,5.907996
0.000790,7.151136,5.907996
0.000792,7.144770,5.907996
0.000794,7.135282,5.907996
0.000796,7.122681,5.907996
0.000798,7.108449,5.907996
0.000800,7.094245,5.903996
0.000802,7.081149,5.903996
0.000804,7.070044,5.903996
0.000806,7.060932,5.903996
0.000808,7.053812,5.903996
0.000810,7.048683,5.903996
0.000812,7.042750,5.903996
0.000814,7.033735,5.903996
0.000816,7.021648,5.903996
0.000818,7.007645,5.903996
0.000820,6.993642,5.899995
0.000822,6.980769,5.899995
0.000824,6.969927,5.899995
0.000826,6.961118,5.899995
0.000828,6.954340,5.899995
0.000830,6.949591,5.899995
0.000832,6.944079,5.899995
0.000834,6.935522,5.899995
0.000836,6.923931,5.899995
0.000838,6.910183,5.899995
0.000840,6.896375,5.895995
0.000842,6.883718,5.895995
0.000844,6.873130,5.895995
0.000846,6.864613,5.895995
0.000848,6.858164,5.895995
0.000850,6.853784,5.895995
0.000852,6.848676,5.895995
0.000854,6.840563,5.895995
0.000856,6.829452,5.895995
0.000858,6.815986,5.895995
0.000860,6.802366,5.891995
0.000862,6.789917,5.891995
0.000864,6.779575,5.891995
0.000866,6.771340,5.891995
0.000868,6.765211,5.891995
0.000870,6.761186,5.891995
0.000872,6.756470,5.891995
0.000874,6.748784,5.891995
0.000876,6.738136,5.891995
0.000878,6.724976,5.891995
0.000880,6.711538,5.887995
0.000882,6.699290,5.887995
0.000884,6.689186,5.887995
0.000886,6.681224,5.887995
0.000888,6.675403,5.887995
0.000890,6.671722,5.887995
0.000892,6.667385,5.887995
0.000894,6.660113,5.887995
0.000896,6.649914,5.887995
0.000898,6.637082,5.887995
0.000900,6.623820,5.883995
0.000902,6.611767,5.883995
0.000904,6.601891,5.883995
0.000906,6.594193,5.883995
0.000908,6.588670,5.883995
0.000910,6.585320,5.883995
0.000912,6.581351,5.883995
0.000914,6.574478,5.883995
0.000916,6.564712,5.883995
0.000918,6.552226,5.883995
0.000920,6.539134,5.879994
0.000922,6.527268,5.879994
0.000924,6.517614,5.879994
0.000926,6.510170,5.879994
0.000928,6.504935,5.879994
0.000930,6.501855,5.879994
0.000932,6.497729,5.879994
0.000934,6.490736,5.879994
0.000936,6.480882,5.879994
0.000938,6.468424,5.879994
0.000940,6.455499,5.875994
0.000942,6.443819,5.875994
0.000944,6.434384,5.875994
0.000946,6.427191,5.875994
0.000948,6.422239,5.875994
0.000950,6.419476,5.875994
0.000952,6.415699,5.875994
0.000954,6.409087,5.875994
0.000956,6.399646,5.875994
0.000958,6.387527,5.875994
0.000960,6.374764,5.871994
0.000962,6.363263,5.871994
0.000964,6.354038,5.871994
0.000966,6.347088,5.871994
0.000968,6.342411,5.871994
0.000970,6.339953,5.871994
0.000972,6.336514,5.871994
0.000974,6.330268,5.871994
0.000976,6.321226,5.871994
0.000978,6.309461,5.871994
0.000980,6.296853,5.867994
0.000982,6.285525,5.867994
0.000984,6.276504,5.867994
0.000986,6.269788,5.867994
0.000988,6.265375,5.867994
0.000990,6.263212,5.867994
0.000992,6.260098,5.867994
0.000994,6.254207,5.867994
0.000996,6.245548,5.867994
0.000998,6.234151,5.867994
0.001000,6.221694,5.863994
0.001002,6.210533,5.863994
0.001004,6.201709,5.863994
0.001006,6.195219,5.863994
0.001008,6.191061,5.863994
0.001010,6.189183,5.863994
0.001012,6.186381,5.863994
0.001014,6.180833,5.863994
0.001016,6.172546,5.863994
0.001018,6.161530,5.863994
0.001020,6.149219,5.863994
0.001022,6.137984,5.859993
0.001024,6.129115,5.859993
0.001026,6.122610,5.859993
0.001028,6.118466,5.859993
0.001030,6.116631,5.859993
0.001032,6.113901,5.859993
0.001034,6.108454,5.859993
0.001036,6.100296,5.859993
